,Rank,Player,POS,Team,PosRank,AVGRank,AVGTier,Target,Sleeper
115,115,Dylan Sampson,RB,CLE,42,116,5,,
116,116,Braelon Allen,RB,NYJ,43,116,5,yes,
117,117,Rashod Bateman,WR,BAL,53,117,5,,
118,118,Cooper Kupp,WR,SEA,54,117,6,,
119,119,Tyjae Spears,RB,TEN,44,118,5,,
120,120,Baker Mayfield,QB,TB,12,118.5,6,,
121,121,Rashid Shaheed,WR,NO,55,118.5,5,,
122,122,Colston Loveland,TE,CHI,11,120,6,,
123,123,Travis Kelce,TE,KC,12,121,6,,
124,124,Keaton Mitchell,RB,BAL,45,123,5,,
125,125,Dak Prescott,QB,DAL,13,125,6,,
126,126,J.J. McCarthy,QB,MIN,14,126,6,,
127,127,Ray Davis,RB,BUF,46,126.5,6,,
128,128,Trevor Lawrence,QB,JAC,15,127,6,,
129,129,Rhamondre Stevenson,RB,NE,47,128,6,,
130,130,Jared Goff,QB,DET,16,128.5,6,,
131,131,Brock Purdy,QB,SF,17,130.5,6,,
132,132,Austin Ekeler,RB,WAS,48,132,6,,
133,133,Marvin Mims Jr.,WR,DEN,56,132.5,6,,
134,134,Dalton Kincaid,TE,BUF,13,133,6,,
135,135,C.J. Stroud,QB,HOU,18,134,6,,
136,136,Jordan Love,QB,GB,19,136.5,6,,
137,137,Dallas Goedert,TE,PHI,14,138,7,,
138,138,Isaac Guerendo,RB,SF,49,139,6,,
139,139,Bryce Young,QB,CAR,20,139,7,,
140,140,Justin Herbert,QB,LAC,21,141,7,,
141,141,Keenan Allen,WR,FA,57,142.5,6,,
142,142,Darnell Mooney,WR,ATL,58,143,7,,
143,143,Javonte Williams,RB,DAL,50,144.5,7,,
144,144,Tyler Allgeier,RB,ATL,51,145.5,7,,
145,145,Cedric Tillman,WR,CLE,59,147.5,7,,
146,146,Jarquez Hunter,RB,LAR,52,148.5,7,yes,
147,147,Kyle Pitts,TE,ATL,15,149.5,7,,
148,148,Cam Ward,QB,TEN,22,150.5,7,,
149,149,Kyle Monangai,RB,CHI,53,151,7,,
150,150,Christian Kirk,WR,HOU,60,151.5,7,,
151,151,Will Shipley,RB,PHI,54,151.5,7,,
152,152,Michael Penix,QB,ATL,23,152.5,7,,
153,153,Jake Ferguson,TE,DAL,16,153.5,7,,
154,154,Tre Harris,WR,LAC,61,154.5,7,,
155,155,Tahj Brooks,RB,CIN,55,155,7,yes,
156,156,Tank Bigsby,RB,JAC,56,155,7,yes,
157,157,Najee Harris,RB,LAC,57,155.5,7,,
158,158,Brashard Smith,RB,KC,58,156,7,yes,
159,159,DJ Giddens,RB,IND,59,158.5,7,yes,
160,160,Roschon Johnson,RB,CHI,60,160,7,,
161,161,Tua Tagovailoa,QB,MIA,24,162,7,,
162,162,Jalen Royals,WR,KC,62,162.5,7,,
163,163,Chig Okonkwo,TE,TEN,17,163.5,7,,
164,164,Jaylen Wright,RB,MIA,61,164,8,,
165,165,Pat Freiermuth,TE,PIT,18,164.5,7,,
166,166,Jalen McMillan,WR,TB,63,165,7,,
167,167,Isaiah Likely,TE,BAL,19,166,7,,
168,168,Sean Tucker,RB,TB,62,167,7,,
169,169,Ja'Tavion Sanders,TE,CAR,20,168,7,,
170,170,Rachaad White,RB,TB,63,169.5,8,,
171,171,Brenton Strange,TE,JAC,21,171.5,8,yes,
172,172,Ollie Gordon,RB,MIA,64,173.5,7,yes,
173,173,Hunter Henry,TE,NE,22,174.5,8,,
174,174,Jonnu Smith,TE,MIA,23,175.5,8,,
175,175,Kyle Williams,WR,NE,64,176,8,yes,
176,176,Blake Corum,RB,LAR,65,176.5,8,,
177,177,Troy Franklin,WR,DEN,65,177.5,8,yes,
178,178,Geno Smith,QB,LV,25,179.5,8,,
179,179,Matthew Stafford,QB,LAR,26,180.5,8,,
180,180,Jerome Ford,RB,CLE,66,182,8,,
181,181,Harold Fannin,TE,CLE,24,182.5,8,,
182,182,Jaylin Noel,WR,HOU,66,183.5,8,,
183,183,Jaylin Lane,WR,WAS,67,183.5,8,,
184,184,Tory Horton,WR,SEA,68,184,8,,
185,185,Anthony Richardson,QB,IND,27,185,8,,
186,186,Jalen Coker,WR,CAR,69,186,8,,
187,187,Wan'Dale Robinson,WR,NYG,70,186.5,9,,
188,188,Pat Bryant,WR,DEN,71,189,9,yes,
189,189,Sam Darnold,QB,SEA,28,190.5,9,,
190,190,Mike Gesicki,TE,CIN,25,191.5,9,,
191,191,Malik Washington,WR,MIA,72,192.5,9,,
192,192,Woody Marks,RB,HOU,67,193,8,yes,
193,193,Adonai Mitchell,WR,IND,73,193.5,8,,
194,194,Rico Dowdle,RB,CAR,68,194,9,,
195,195,KeAndre Lambert-Smith,WR,LAC,74,195,9,,
196,196,Adam Thielen,WR,CAR,75,195.5,9,,
197,197,Demario Douglas,WR,NE,76,198,9,,
198,198,Nick Chubb,RB,FA,69,198.5,9,,
199,199,Mason Taylor,TE,NYJ,26,200,9,,
200,200,MarShawn Lloyd,RB,GB,70,202,9,,
201,201,Joshua Palmer,WR,BUF,77,202.5,9,yes,
202,202,Elic Ayomanor,WR,TEN,78,203,9,,
203,203,Trevor Etienne,RB,CAR,71,203,9,,
204,204,Hollywood Brown,WR,KC,79,203.5,9,,
205,205,Zach Ertz,TE,WAS,27,204.5,9,,
206,206,Aaron Rodgers,QB,FA,29,205.5,9,,
207,207,Daniel Jones,QB,IND,30,205.5,9,,
208,208,Elijah Arroyo,TE,SEA,28,206.5,9,,
209,209,Cole Kmet,TE,CHI,29,208,9,,
210,210,Romeo Doubs,WR,GB,80,208,9,,
211,211,Dont'e Thornton,WR,LV,81,209.5,9,,
212,212,Miles Sanders,RB,DAL,72,211.5,9,,
213,213,Justice Hill,RB,BAL,73,213,10,,
214,214,Isaac Teslaa,WR,DET,82,214,9,yes,
215,215,Isaiah Davis,RB,NYJ,74,214.5,9,,
216,216,Kendre Miller,RB,NO,75,214.5,10,,
217,217,Jaxson Dart,QB,NYG,31,215,9,,
218,218,Alec Pierce,WR,IND,83,215.5,10,,
219,219,Dameon Pierce,RB,HOU,76,215.5,9,,
220,220,Calvin Austin III,WR,PIT,84,217,10,,
221,221,Dyami Brown,WR,JAC,85,218,10,,
222,222,Xavier Legette,WR,CAR,86,219,10,,
223,223,Darren Waller,TE,FA,30,220.5,10,,
224,224,Cade Otton,TE,TB,31,222,10,yes,
225,225,Devin Neal,RB,NO,77,223.5,10,,
226,226,Jordan James,RB,SF,78,225,10,,
227,227,Ben Sinnott,TE,WAS,32,226.5,10,,
228,228,Elijah Mitchell,RB,KC,79,227.5,10,,
229,229,Russell Wilson,QB,NYG,32,227.5,10,,
230,230,Dontayvion Wicks,WR,GB,87,229,10,,
231,231,Kareem Hunt,RB,KC,80,231,10,,
232,232,Theo Johnson,TE,NYG,33,231,10,yes,
233,233,Roman Wilson,WR,PIT,88,232,10,,
234,234,Ty Johnson,RB,BUF,81,233,10,,
235,235,Tyquan Thornton,WR,KC,89,234,10,,
236,236,Quentin Johnston,WR,LAC,90,235,10,,
237,237,Jordan Watkins,WR,SF,91,236,10,,
238,238,Terrance Ferguson,TE,LAR,34,237,10,,
239,239,Dalton Schultz,TE,HOU,35,238.5,10,,
240,240,Oronde Gadsden,TE,LAC,36,239.5,10,,
241,241,Phil Mafah,RB,DAL,82,240.5,10,,
242,242,Tyler Lockett,WR,TEN,92,241.5,10,,
243,243,Jack Bech,WR,LV,93,243,10,,
244,244,Damien Martinez,RB,SEA,83,244,11,,
245,245,Juwan Johnson,TE,NO,37,245,11,,
246,246,Amari Cooper,WR,FA,94,246,11,,
247,247,Andrei Iosivas,WR,CIN,95,247,11,,
248,248,Audric Estime,RB,DEN,84,248,11,,
249,249,Tutu Atwell,WR,LAR,96,249,11,,
250,250,Emanuel Wilson,RB,GB,85,250,11,,
